,CARMA,JRC
154,344.0,41.0
155,1470.0,185.0
156,1507.0,191.0
157,1681.0,2340.0
158,3683.0,2341.0
159,4679.0,577.0
160,9015.0,1229.0
161,9411.0,1230.0
162,9907.0,1467.0
163,9992.0,1481.0
164,10126.0,1500.0
165,12531.0,1232.0
166,13889.0,2154.0
167,14297.0,2210.0
168,14503.0,2237.0
169,14533.0,2242.0
170,14713.0,2268.0
171,14966.0,2303.0
172,16562.0,2609.0
173,17145.0,1234.0
174,17761.0,2831.0
175,17892.0,2872.0
176,18085.0,2941.0
177,18609.0,3049.0
178,3075.0,406.0
179,4772.0,594.0
180,5008.0,626.0
181,5010.0,627.0
182,6553.0,882.0
183,7086.0,366.0
184,7108.0,972.0
185,9097.0,1334.0
186,10071.0,1491.0
187,12331.0,1861.0
188,13908.0,2150.0
189,14123.0,2181.0
190,14496.0,2233.0
191,15840.0,2463.0
192,17089.0,2706.0
193,17429.0,2775.0
194,19647.0,3270.0
195,19753.0,1171.0
196,20095.0,3339.0
197,21014.0,3481.0
198,4488.0,646.0
199,4781.0,662.0
200,8370.0,1185.0
201,9376.0,1387.0
202,11033.0,1695.0
203,13087.0,2002.0
204,13906.0,2149.0
205,17470.0,2795.0
206,17920.0,2880.0
207,18126.0,2933.0
208,20103.0,3341.0
209,20263.0,3368.0
210,20266.0,3370.0
211,7870.0,1735.0
212,8832.0,1295.0
213,8971.0,1315.0
214,9277.0,1358.0
215,9356.0,1380.0
216,9542.0,1412.0
217,9624.0,1420.0
218,9906.0,1407.0
219,9913.0,1469.0
220,9942.0,1473.0
221,10240.0,1526.0
222,10832.0,1658.0
223,10925.0,1678.0
224,11475.0,1760.0
225,11703.0,1784.0
226,11939.0,1806.0
227,12111.0,1840.0
228,12157.0,1845.0
229,12598.0,1903.0
230,13515.0,2080.0
231,13977.0,2168.0
232,14152.0,2187.0
233,14186.0,2351.0
234,14208.0,2195.0
235,14225.0,2198.0
236,14481.0,2230.0
237,14510.0,2238.0
238,14722.0,2270.0
239,15024.0,2313.0
240,15271.0,2349.0
241,15300.0,2350.0
242,15362.0,2361.0
243,17046.0,2695.0
244,17047.0,2696.0
245,18379.0,3013.0
246,18382.0,3015.0
247,19217.0,3175.0
248,19437.0,3227.0
249,19501.0,3240.0
250,20206.0,3357.0
251,378.0,46.0
252,448.0,50.0
253,616.0,2384.0
254,842.0,104.0
255,844.0,105.0
256,915.0,1251.0
257,954.0,116.0
258,1046.0,125.0
259,1129.0,509.0
260,1135.0,145.0
261,1159.0,147.0
262,1271.0,161.0
263,1335.0,169.0
264,1516.0,193.0
265,1570.0,3255.0
266,1572.0,197.0
267,1585.0,199.0
268,1671.0,334.0
269,2008.0,250.0
270,2256.0,498.0
271,2363.0,306.0
272,2426.0,311.0
273,2575.0,322.0
274,2653.0,340.0
275,2710.0,343.0
276,3054.0,403.0
277,3124.0,414.0
278,3131.0,415.0
279,3414.0,2570.0
280,3464.0,444.0
281,3487.0,446.0
282,3696.0,2571.0
283,3712.0,467.0
284,3754.0,476.0
285,3772.0,479.0
286,3784.0,480.0
287,3837.0,486.0
288,3990.0,501.0
289,4032.0,2580.0
290,4051.0,507.0
291,4283.0,523.0
292,4424.0,537.0
293,4434.0,540.0
294,4491.0,2573.0
295,4861.0,605.0
296,5208.0,663.0
297,5227.0,668.0
298,5424.0,710.0
299,5673.0,2574.0
300,5683.0,2846.0
